"Accession_ID","Season","Block","Rep","DSR","Origin","Species"
"26",1,1,2,8,"China","rapa"
"26",1,2,2,10,"China","rapa"
"26",1,3,2,10,"China","rapa"
"26",2,1,3,6,"China","rapa"
"26",2,2,3,3,"China","rapa"
"26",2,3,3,3,"China","rapa"
"26",2,1,4,7,"China","rapa"
"26",2,2,4,6,"China","rapa"
"26",2,3,4,5,"China","rapa"
"26",2,1,5,10,"China","rapa"
"26",2,2,5,6,"China","rapa"
"26",2,3,5,6,"China","rapa"
"27",1,1,1,8,"China","rapa"
"27",1,2,1,8,"China","rapa"
"27",1,3,1,9,"China","rapa"
"27",1,1,2,10,"China","rapa"
"27",1,2,2,10,"China","rapa"
"27",1,3,2,10,"China","rapa"
"27",2,1,3,4,"China","rapa"
"27",2,2,3,2,"China","rapa"
"27",2,3,3,4,"China","rapa"
"27",2,1,4,7,"China","rapa"
"27",2,2,4,NA,"China","rapa"
"27",2,3,4,5,"China","rapa"
"27",2,1,5,7,"China","rapa"
"27",2,2,5,7,"China","rapa"
"27",2,3,5,7,"China","rapa"
"28",1,1,1,9,"China","rapa"
"28",1,2,1,7,"China","rapa"
"28",1,3,1,5,"China","rapa"
"28",1,1,2,10,"China","rapa"
"28",1,2,2,8,"China","rapa"
"28",1,3,2,9,"China","rapa"
"28",2,1,3,3,"China","rapa"
"28",2,2,3,3,"China","rapa"
"28",2,3,3,4,"China","rapa"
"28",2,1,4,6,"China","rapa"
"28",2,2,4,6,"China","rapa"
"28",2,3,4,4,"China","rapa"
"28",2,1,5,9,"China","rapa"
"28",2,2,5,9,"China","rapa"
"28",2,3,5,8,"China","rapa"
"29",1,1,1,5,"Sweden","rapa"
"29",1,2,1,10,"Sweden","rapa"
"29",1,3,1,9,"Sweden","rapa"
"29",1,1,2,6,"Sweden","rapa"
"29",1,2,2,10,"Sweden","rapa"
"29",1,3,2,10,"Sweden","rapa"
"29",2,1,3,5,"Sweden","rapa"
"29",2,2,3,3,"Sweden","rapa"
"29",2,3,3,NA,"Sweden","rapa"
"29",2,1,4,6,"Sweden","rapa"
"29",2,2,4,6,"Sweden","rapa"
"29",2,3,4,NA,"Sweden","rapa"
"29",2,1,5,10,"Sweden","rapa"
"29",2,2,5,8,"Sweden","rapa"
"29",2,3,5,NA,"Sweden","rapa"
"30",1,1,1,9,"Cuba","rapa"
"30",1,2,1,9,"Cuba","rapa"
"30",1,3,1,8,"Cuba","rapa"
"30",1,1,2,8,"Cuba","rapa"
"30",1,2,2,10,"Cuba","rapa"
"30",1,3,2,8,"Cuba","rapa"
"30",2,1,3,3,"Cuba","rapa"
"30",2,2,3,2,"Cuba","rapa"
